date,location,iso_a3,new_cases
2022-02-18,Angola,AGO,NA
2022-02-18,Argentina,ARG,NA
2022-02-18,Australia,AUS,NA
2022-02-18,Austria,AUT,NA
2022-02-18,Azerbaijan,AZE,NA
2022-02-18,Bahrain,BHR,NA
2022-02-18,Bangladesh,BGD,NA
2022-02-18,Belarus,BLR,NA
2022-02-18,Bhutan,BTN,NA
2022-02-18,Botswana,BWA,NA
2022-02-18,Brazil,BRA,NA
2022-02-18,Bulgaria,BGR,NA
2022-02-18,Burkina Faso,BFA,NA
2022-02-18,Burundi,BDI,NA
2022-02-18,Cambodia,KHM,NA
2022-02-18,Canada,CAN,NA
2022-02-18,Chile,CHL,NA
2022-02-18,China,CHN,NA
2022-02-18,Cote d'Ivoire,CIV,NA
2022-02-18,Croatia,HRV,NA
2022-02-18,Czechia,CZE,NA
2022-02-18,Djibouti,DJI,NA
2022-02-18,Equatorial Guinea,GNQ,NA
2022-02-18,Ethiopia,ETH,NA
2022-02-18,Finland,FIN,NA
2022-02-18,Gabon,GAB,NA
2022-02-18,Georgia,GEO,NA
2022-02-18,Germany,DEU,NA
2022-02-18,Ghana,GHA,NA
2022-02-18,Greece,GRC,NA
2022-02-18,Honduras,HND,NA
2022-02-18,Hungary,HUN,NA
2022-02-18,India,IND,NA
2022-02-18,Indonesia,IDN,NA
2022-02-18,Iran,IRN,NA
2022-02-18,Ireland,IRL,NA
2022-02-18,Israel,ISR,NA
2022-02-18,Italy,ITA,NA
2022-02-18,Jamaica,JAM,NA
2022-02-18,Kazakhstan,KAZ,NA
2022-02-18,Kenya,KEN,NA
2022-02-18,Kuwait,KWT,NA
2022-02-18,Kyrgyzstan,KGZ,NA
2022-02-18,Latvia,LVA,NA
2022-02-18,Lebanon,LBN,NA
2022-02-18,Lithuania,LTU,NA
2022-02-18,Malawi,MWI,NA
2022-02-18,Malaysia,MYS,NA
2022-02-18,Maldives,MDV,NA
2022-02-18,Malta,MLT,NA
2022-02-18,Mauritania,MRT,NA
2022-02-18,Mexico,MEX,NA
2022-02-18,Moldova,MDA,NA
2022-02-18,Mongolia,MNG,NA
2022-02-18,Morocco,MAR,NA
2022-02-18,Mozambique,MOZ,NA
2022-02-18,Myanmar,MMR,NA
2022-02-18,Namibia,"NAM",NA
2022-02-18,Nepal,NPL,NA
2022-02-18,New Zealand,NZL,NA
2022-02-18,Niger,NER,NA
2022-02-18,Nigeria,NGA,NA
2022-02-18,North Macedonia,MKD,NA
2022-02-18,Pakistan,PAK,NA
2022-02-18,Palestine,PSE,NA
2022-02-18,Panama,PAN,NA
2022-02-18,Paraguay,PRY,NA
2022-02-18,Poland,POL,NA
2022-02-18,Romania,ROU,NA
2022-02-18,Russia,RUS,NA
2022-02-18,Senegal,SEN,NA
2022-02-18,Slovenia,SVN,NA
2022-02-18,South Africa,ZAF,NA
2022-02-18,Sweden,SWE,NA
2022-02-18,Taiwan,TWN,NA
2022-02-18,Thailand,THA,NA
2022-02-18,Togo,TGO,NA
2022-02-18,Trinidad and Tobago,TTO,NA
2022-02-18,Turkey,TUR,NA
2022-02-18,Uganda,UGA,NA
2022-02-18,Ukraine,UKR,NA
2022-02-18,United Arab Emirates,ARE,NA
2022-02-18,United States,USA,NA
2022-02-18,Uruguay,URY,NA
2022-02-18,Vietnam,VNM,NA
2022-02-18,Zambia,ZMB,NA
2022-02-18,Zimbabwe,ZWE,NA
