location,date,stringency_index,new_deaths_per_million,stringency_lag
Afghanistan,2021-12-23,27.78,0.126,27.78
Albania,2021-12-23,45.37,0.348,45.37
Algeria,2021-12-23,50,0.179,50
Angola,2021-12-23,66.67,0.059,66.67
Argentina,2021-12-23,41.67,0.329,41.67
Armenia,2021-12-23,41.67,5.054,41.67
Australia,2021-12-23,50.46,0.349,50.46
Austria,2021-12-23,64.81,3.096,67.59
Azerbaijan,2021-12-23,40.74,1.858,40.74
Bahrain,2021-12-23,32.41,0,32.41
Bangladesh,2021-12-23,44.44,0.012,44.44
Barbados,2021-12-23,67.59,10.427,67.59
Belarus,2021-12-23,19.44,1.8,19.44
Belgium,2021-12-23,48.15,3.697,48.15
Benin,2021-12-23,55.56,0,55.56
Bhutan,2021-12-23,49.07,0,53.24
Bolivia,2021-12-23,32.41,1.352,32.41
Bosnia and Herzegovina,2021-12-23,35.19,5.822,35.19
Botswana,2021-12-23,13.89,0.834,13.89
Brazil,2021-12-23,61.57,0.589,61.57
Bulgaria,2021-12-23,50,11.165,50
Burkina Faso,2021-12-23,13.89,0,13.89
Burundi,2021-12-23,8.33,0,8.33
Cambodia,2021-12-23,60.65,0,60.65
Cameroon,2021-12-23,22.22,0.184,22.22
Canada,2021-12-23,62.5,0.499,62.5
Cape Verde,2021-12-23,37.96,0,37.96
Central African Republic,2021-12-23,24.07,0,24.07
Chad,2021-12-23,22.22,0,22.22
Chile,2021-12-23,41.2,2.811,41.2
China,2021-12-23,76.39,0,76.39
Colombia,2021-12-23,51.85,1.053,47.22
Comoros,2021-12-23,51.85,0,51.85
Congo,2021-12-23,33.33,0,33.33
Costa Rica,2021-12-23,49.07,0,49.07
Cote d'Ivoire,2021-12-23,17.59,0.037,17.59
Croatia,2021-12-23,40.74,12.985,40.74
Cuba,2021-12-23,24.07,0,24.07
Cyprus,2021-12-23,46.3,1.116,46.3
Czechia,2021-12-23,35.19,0,35.19
Democratic Republic of Congo,2021-12-23,39.81,0,39.81
Denmark,2021-12-23,38.89,0,38.89
Djibouti,2021-12-23,43.52,0,43.52
Dominican Republic,2021-12-23,41.67,0.456,41.67
Ecuador,2021-12-23,57.87,0,57.87
