location,date,people_vaccinated_per_hundred,new_deaths_per_million,vaxx_lag
Algeria,2022-04-29,16.72,0,16.72
Australia,2022-04-29,86.38,0,86.29
Austria,2022-04-29,75.44,0,75.42
Bahrain,2022-04-29,70.61,0,70.57
Belarus,2022-04-29,64.6,0,62.99
Cambodia,2022-04-29,87.88,0,87.63
Chile,2022-04-29,93.23,0,93.17
Croatia,2022-04-29,56.67,0,56.65
Czechia,2022-04-29,64.87,0,64.85
Denmark,2022-04-29,83.22,0,83.21
Finland,2022-04-29,81.28,0,81.25
France,2022-04-29,80.17,0,80.16
Germany,2022-04-29,75.98,0,75.96
Greece,2022-04-29,76.27,0,76.24
India,2022-04-29,71.92,0,71.55
Ireland,2022-04-29,81.85,0,81.82
Israel,2022-04-29,72.18,0,72.18
Italy,2022-04-29,84.08,0,84.07
Laos,2022-04-29,78.14,0,77.68
Latvia,2022-04-29,72.03,0,72.01
Malaysia,2022-04-29,84.67,0,84.18
Malta,2022-04-29,92.11,0,92.01
Nepal,2022-04-29,74.89,0,74.63
Netherlands,2022-04-29,78.4,0,78.38
New Zealand,2022-04-29,83.65,0,83.62
Pakistan,2022-04-29,59.62,0,59.39
Russia,2022-04-29,55.3,0,55.01
Serbia,2022-04-29,48.71,0,48.71
United Arab Emirates,2022-04-29,98.99,0,98.99
