date,location,iso_code,variable,value
2022-09-17,Afghanistan,AFG,20-days average,-21.1
2022-09-17,Albania,ALB,20-days average,-6.75
2022-09-17,Algeria,DZA,20-days average,-0.6
2022-09-17,Angola,AGO,20-days average,0
2022-09-17,Argentina,ARG,20-days average,-991.7
2022-09-17,Armenia,ARM,20-days average,0
2022-09-17,Australia,AUS,20-days average,-377.95
2022-09-18,Austria,AUT,20-days average,0
2022-09-17,Azerbaijan,AZE,20-days average,-17.15
2022-09-17,Bahrain,BHR,20-days average,4
2022-09-17,Bangladesh,BGD,20-days average,-3.8
2022-09-17,Barbados,BRB,20-days average,-4.3
2022-09-17,Belarus,BLR,20-days average,0
2022-09-17,Belgium,BEL,20-days average,0
2022-09-17,Benin,BEN,20-days average,0
2022-09-17,Bhutan,BTN,20-days average,0
2022-09-17,Bolivia,BOL,20-days average,-12.25
2022-09-17,Bosnia and Herzegovina,BIH,20-days average,0
2022-09-17,Botswana,BWA,20-days average,0
2022-09-17,Brazil,BRA,20-days average,0
2022-09-17,Bulgaria,BGR,20-days average,0.45
2022-09-17,Burkina Faso,BFA,20-days average,0
2022-09-17,Burundi,BDI,20-days average,0
2022-09-17,Cambodia,KHM,20-days average,-0.7
2022-09-17,Cameroon,CMR,20-days average,0
2022-09-17,Canada,CAN,20-days average,3.2
2022-09-17,Cape Verde,CPV,20-days average,-0.05
2022-09-17,Central African Republic,CAF,20-days average,0
2022-09-17,Chad,TCD,20-days average,0
2022-09-17,Chile,CHL,20-days average,-347.55
2022-09-17,China,CHN,20-days average,-155.45
2022-09-17,Colombia,COL,20-days average,0
2022-09-17,Comoros,COM,20-days average,0
2022-09-17,Congo,COG,20-days average,0
2022-09-17,Costa Rica,CRI,20-days average,0
2022-09-17,Cote d'Ivoire,CIV,20-days average,-1.7
2022-09-17,Croatia,HRV,20-days average,11.2
2022-09-17,Cuba,CUB,20-days average,-2.45
2022-09-17,Cyprus,CYP,20-days average,0
2022-09-17,Czechia,CZE,20-days average,12.15
2022-09-17,Democratic Republic of Congo,COD,20-days average,0
2022-09-17,Denmark,DNK,20-days average,0
2022-09-17,Djibouti,DJI,20-days average,0
2022-09-17,Dominican Republic,DOM,20-days average,0
2022-09-17,Ecuador,ECU,20-days average,0
2022-09-17,Egypt,EGY,20-days average,0
2022-09-17,El Salvador,SLV,20-days average,0
2022-09-17,Equatorial Guinea,GNQ,20-days average,0
2022-09-17,Eritrea,ERI,20-days average,-0.15
2022-09-17,Estonia,EST,20-days average,0
2022-09-17,Eswatini,SWZ,20-days average,0
2022-09-17,Ethiopia,ETH,20-days average,0.2
2022-09-17,Fiji,FJI,20-days average,0
2022-09-17,Finland,FIN,20-days average,0
2022-09-17,France,FRA,20-days average,0
2022-09-17,Gabon,GAB,20-days average,0
2022-09-17,Gambia,GMB,20-days average,0
2022-09-17,Georgia,GEO,20-days average,0
2022-09-18,Germany,DEU,20-days average,-2725.2
2022-09-17,Ghana,GHA,20-days average,0
2022-09-17,Greece,GRC,20-days average,0
2022-09-17,Guatemala,GTM,20-days average,-46.15
2022-09-17,Guinea,GIN,20-days average,0
2022-09-17,Guinea-Bissau,GNB,20-days average,0
2022-09-17,Guyana,GUY,20-days average,0
2022-09-17,Haiti,HTI,20-days average,-2.1
2022-09-17,Honduras,HND,20-days average,0
2022-09-17,Hong Kong,HKG,20-days average,-71.5
2022-09-17,Hungary,HUN,20-days average,0
2022-09-17,Iceland,ISL,20-days average,0
2022-09-17,India,IND,20-days average,-96.35
2022-09-17,Indonesia,IDN,20-days average,-57.45
2022-09-17,Iran,IRN,20-days average,-69.5
2022-09-17,Iraq,IRQ,20-days average,0
2022-09-17,Ireland,IRL,20-days average,0
2022-09-18,Israel,ISR,20-days average,-77.6
2022-09-18,Italy,ITA,20-days average,-417.35
2022-09-17,Jamaica,JAM,20-days average,-4.25
2022-09-17,Japan,JPN,20-days average,-4340.25
2022-09-17,Jordan,JOR,20-days average,-197.3
2022-09-17,Kazakhstan,KAZ,20-days average,0
2022-09-17,Kenya,KEN,20-days average,0
2022-09-17,Kuwait,KWT,20-days average,0
2022-09-17,Kyrgyzstan,KGZ,20-days average,0
2022-09-17,Laos,LAO,20-days average,-0.85
2022-09-17,Latvia,LVA,20-days average,0
2022-09-17,Lebanon,LBN,20-days average,-12.55
2022-09-17,Lesotho,LSO,20-days average,0
2022-09-17,Liberia,LBR,20-days average,0
2022-09-17,Libya,LBY,20-days average,-0.25
2022-09-17,Lithuania,LTU,20-days average,69.3
2022-09-17,Luxembourg,LUX,20-days average,0
2022-09-17,Madagascar,MDG,20-days average,-0.55
2022-09-17,Malawi,MWI,20-days average,1.05
2022-09-18,Malaysia,MYS,20-days average,-78.75
2022-09-17,Maldives,MDV,20-days average,0
2022-09-17,Mali,MLI,20-days average,0.4
2022-09-17,Malta,MLT,20-days average,0.35
2022-09-17,Mauritania,MRT,20-days average,0
2022-09-17,Mauritius,MUS,20-days average,0
2022-09-17,Mexico,MEX,20-days average,-154.6
2022-09-17,Moldova,MDA,20-days average,0
2022-09-17,Mongolia,MNG,20-days average,0
2022-09-17,Montenegro,MNE,20-days average,-4.4
2022-09-17,Morocco,MAR,20-days average,-0.55
2022-09-17,Mozambique,MOZ,20-days average,1.15
2022-09-17,Myanmar,MMR,20-days average,-1.4
2022-09-17,Namibia,"NAM",20-days average,0
2022-09-17,Nepal,NPL,20-days average,-6.45
2022-09-17,Netherlands,NLD,20-days average,0
2022-09-17,New Zealand,NZL,20-days average,-87.25
2022-09-17,Nicaragua,NIC,20-days average,0
2022-09-17,Niger,NER,20-days average,0
2022-09-17,Nigeria,NGA,20-days average,9.45
2022-09-17,North Korea,PRK,20-days average,0
2022-09-17,North Macedonia,MKD,20-days average,0
2022-09-17,Norway,NOR,20-days average,0.4
2022-09-17,Oman,OMN,20-days average,0
2022-09-17,Pakistan,PAK,20-days average,0
2022-09-17,Palestine,PSE,20-days average,0
2022-09-17,Panama,PAN,20-days average,0
2022-09-17,Papua New Guinea,PNG,20-days average,0
2022-09-17,Paraguay,PRY,20-days average,0
2022-09-17,Peru,PER,20-days average,-69.8
2022-09-17,Philippines,PHL,20-days average,-3.45
2022-09-17,Poland,POL,20-days average,241.2
2022-09-17,Portugal,PRT,20-days average,0
2022-09-17,Qatar,QAT,20-days average,-2.1
2022-09-17,Romania,ROU,20-days average,92.6
2022-09-18,Russia,RUS,20-days average,-1944.15
2022-09-17,Rwanda,RWA,20-days average,0.05
