location,iso_code,date,total_boosters_per_hundred
Afghanistan,AFG,2022-10-17,0
Albania,ALB,2022-10-17,12.52
Algeria,DZA,2022-10-17,1.3
Angola,AGO,2022-10-17,3.27
Argentina,ARG,2022-10-17,68.28
Armenia,ARM,2022-10-17,1.46
Australia,AUS,2022-10-17,55.03
Austria,AUT,2022-10-17,68.17
Azerbaijan,AZE,2022-10-17,32.6
Bahrain,BHR,2022-10-17,68.72
Bangladesh,BGD,2022-10-17,33.8
Barbados,BRB,2022-10-17,21.87
Belarus,BLR,2022-10-17,32.38
Belgium,BEL,2022-10-17,91.48
Benin,BEN,2022-10-17,0
Bhutan,BTN,2022-10-17,81.24
Bolivia,BOL,2022-10-17,17.94
Bosnia and Herzegovina,BIH,2022-10-17,3.68
Botswana,BWA,2022-10-17,18.04
Brazil,BRA,2022-10-17,55.44
Bulgaria,BGR,2022-10-17,11.16
Burkina Faso,BFA,2022-10-17,0
Burundi,BDI,2022-10-17,0
Cambodia,KHM,2022-10-17,61.39
Cameroon,CMR,2022-10-17,0.23
Canada,CAN,2022-10-17,68.3
Cape Verde,CPV,2022-10-17,0.13
Central African Republic,CAF,2022-10-17,3.92
Chad,TCD,2022-10-17,0
Chile,CHL,2022-10-17,139.82
China,CHN,2022-10-17,56.65
Colombia,COL,2022-10-17,27.4
Comoros,COM,2022-10-17,0
Congo,COG,2022-10-17,0
Costa Rica,CRI,2022-10-17,50.29
Cote d'Ivoire,CIV,2022-10-17,4.52
Croatia,HRV,2022-10-17,14.65
Cuba,CUB,2022-10-17,76.49
Cyprus,CYP,2022-10-17,53.44
Czechia,CZE,2022-10-17,45.52
Democratic Republic of Congo,COD,2022-10-17,0
Denmark,DNK,2022-10-17,62.46
Djibouti,DJI,2022-10-17,0
Dominican Republic,DOM,2022-10-17,22.28
Ecuador,ECU,2022-10-17,47.78
Egypt,EGY,2022-10-17,8.15
El Salvador,SLV,2022-10-17,36.3
Equatorial Guinea,GNQ,2022-10-17,0.28
Eritrea,ERI,2022-10-17,0
Estonia,EST,2022-10-17,0
Eswatini,SWZ,2022-10-17,12.37
Ethiopia,ETH,2022-10-17,2.01
Fiji,FJI,2022-10-17,18.11
Finland,FIN,2022-10-17,72.2
France,FRA,2022-10-17,64.7
Gabon,GAB,2022-10-17,0.11
Gambia,GMB,2022-10-17,0.34
Georgia,GEO,2022-10-17,2.15
Germany,DEU,2022-10-17,72.91
Ghana,GHA,2022-10-17,6.81
Greece,GRC,2022-10-17,62.74
Guatemala,GTM,2022-10-17,22.79
Guinea,GIN,2022-10-17,1.43
Guinea-Bissau,GNB,2022-10-17,0.04
Guyana,GUY,2022-10-17,8.76
Haiti,HTI,2022-10-17,0
Honduras,HND,2022-10-17,40.43
Hong Kong,HKG,2022-10-17,81.2
Hungary,HUN,2022-10-17,43.78
Iceland,ISL,2022-10-17,67.65
India,IND,2022-10-17,15.43
Indonesia,IDN,2022-10-17,23.3
Iran,IRN,2022-10-17,35.27
Iraq,IRQ,2022-10-17,0.57
Ireland,IRL,2022-10-17,63.82
Israel,ISR,2022-10-17,57.76
Italy,ITA,2022-10-17,74.26
Jamaica,JAM,2022-10-17,1.59
Japan,JPN,2022-10-17,96.55
Jordan,JOR,2022-10-17,6.12
Kazakhstan,KAZ,2022-10-17,13.1
Kenya,KEN,2022-10-17,2.96
Kuwait,KWT,2022-10-17,33.77
Kyrgyzstan,KGZ,2022-10-17,0
Laos,LAO,2022-10-17,0
Latvia,LVA,2022-10-17,28.26
Lebanon,LBN,2022-10-17,11.66
Lesotho,LSO,2022-10-17,1.9
Liberia,LBR,2022-10-17,0.04
Libya,LBY,2022-10-17,2.63
Lithuania,LTU,2022-10-17,33.75
Luxembourg,LUX,2022-10-17,68.18
Madagascar,MDG,2022-10-17,0.83
Malawi,MWI,2022-10-17,0.99
Malaysia,MYS,2022-10-17,49.92
Maldives,MDV,2022-10-17,32.03
Mali,MLI,2022-10-17,0
Malta,MLT,2022-10-17,79.96
Mauritania,MRT,2022-10-17,6.39
Mauritius,MUS,2022-10-17,51.44
Mexico,MEX,2022-10-17,45
Moldova,MDA,2022-10-17,12.1
