location,date,value,variable
Brazil,2020-02-26,1,New cases
Brazil,2020-02-27,1,New cases
Brazil,2020-02-28,1,New cases
Brazil,2020-02-29,2,New cases
Brazil,2020-03-01,2,New cases
Brazil,2020-03-02,2,New cases
Brazil,2020-03-03,2,New cases
Brazil,2020-03-04,4,New cases
Brazil,2020-03-05,4,New cases
Brazil,2020-03-06,13,New cases
Brazil,2020-03-07,13,New cases
Brazil,2020-03-08,20,New cases
Brazil,2020-03-09,25,New cases
Brazil,2020-03-10,31,New cases
Brazil,2020-03-11,38,New cases
Brazil,2020-03-12,52,New cases
Brazil,2020-03-13,151,New cases
Brazil,2020-03-14,151,New cases
Brazil,2020-03-15,162,New cases
Brazil,2020-03-16,200,New cases
Brazil,2020-03-17,321,New cases
Brazil,2020-03-18,372,New cases
Brazil,2020-03-19,621,New cases
Brazil,2020-03-20,793,New cases
Brazil,2020-03-21,1021,New cases
Brazil,2020-03-22,1546,New cases
Brazil,2020-03-23,1924,New cases
Brazil,2020-03-24,2247,New cases
Brazil,2020-03-25,2554,New cases
Brazil,2020-03-26,2985,New cases
Brazil,2020-03-27,3417,New cases
Brazil,2020-03-28,3904,New cases
Brazil,2020-03-29,4256,New cases
Brazil,2020-03-30,4579,New cases
Brazil,2020-03-31,5717,New cases
Brazil,2020-04-01,6836,New cases
Brazil,2020-04-02,8044,New cases
Brazil,2020-04-03,9056,New cases
Brazil,2020-04-04,10360,New cases
Brazil,2020-04-05,11130,New cases
Brazil,2020-04-06,12161,New cases
Brazil,2020-04-07,14034,New cases
Brazil,2020-04-08,16170,New cases
Brazil,2020-04-09,18092,New cases
Brazil,2020-04-10,19638,New cases
Brazil,2020-04-11,20727,New cases
Brazil,2020-04-12,22192,New cases
Brazil,2020-04-13,23430,New cases
Brazil,2020-04-14,25262,New cases
Brazil,2020-04-15,28320,New cases
Brazil,2020-04-16,30425,New cases
Brazil,2020-04-17,33682,New cases
Brazil,2020-04-18,36658,New cases
Brazil,2020-04-19,38654,New cases
Brazil,2020-04-20,40743,New cases
Brazil,2020-04-21,43079,New cases
Brazil,2020-04-22,45757,New cases
Brazil,2020-04-23,50036,New cases
Brazil,2020-04-24,54043,New cases
Brazil,2020-04-25,59324,New cases
Brazil,2020-04-26,63100,New cases
Brazil,2020-04-27,67446,New cases
Brazil,2020-04-28,73235,New cases
Brazil,2020-04-29,79685,New cases
Brazil,2020-04-30,87187,New cases
Brazil,2020-05-01,92202,New cases
Brazil,2020-05-02,97100,New cases
Brazil,2020-05-03,101826,New cases
Brazil,2020-05-04,108620,New cases
Brazil,2020-05-05,115455,New cases
Brazil,2020-05-06,126611,New cases
Brazil,2020-05-07,135773,New cases
Brazil,2020-05-08,146894,New cases
Brazil,2020-05-09,156061,New cases
Brazil,2020-05-10,162699,New cases
Brazil,2020-05-11,169594,New cases
Brazil,2020-05-12,178214,New cases
Brazil,2020-05-13,190137,New cases
Brazil,2020-05-14,203165,New cases
Brazil,2020-05-15,220291,New cases
Brazil,2020-05-16,233511,New cases
Brazil,2020-05-17,241080,New cases
Brazil,2020-05-18,255368,New cases
Brazil,2020-05-19,271885,New cases
Brazil,2020-05-20,294624,New cases
Brazil,2020-05-21,312761,New cases
Brazil,2020-05-22,334568,New cases
Brazil,2020-05-23,351565,New cases
Brazil,2020-05-24,366033,New cases
Brazil,2020-05-25,378840,New cases
Brazil,2020-05-26,395167,New cases
Brazil,2020-05-27,415366,New cases
Brazil,2020-05-28,443703,New cases
Brazil,2020-05-29,470593,New cases
Brazil,2020-05-30,502914,New cases
Brazil,2020-05-31,516137,New cases
Brazil,2020-06-01,531286,New cases
Brazil,2020-06-02,562963,New cases
Brazil,2020-06-03,589048,New cases
Brazil,2020-06-04,621002,New cases
Brazil,2020-06-05,653103,New cases
Brazil,2020-06-06,676893,New cases
Brazil,2020-06-07,694881,New cases
Brazil,2020-06-08,712219,New cases
Brazil,2020-06-09,743917,New cases
Brazil,2020-06-10,777707,New cases
Brazil,2020-06-11,806399,New cases
Brazil,2020-06-12,830681,New cases
Brazil,2020-06-13,851911,New cases
Brazil,2020-06-14,868705,New cases
Brazil,2020-06-15,893322,New cases
Brazil,2020-06-16,930305,New cases
Brazil,2020-06-17,961230,New cases
Brazil,2020-06-18,986750,New cases
Brazil,2020-06-19,1042809,New cases
Brazil,2020-06-20,1106332,New cases
Brazil,2020-06-21,1086536,New cases
Brazil,2020-06-22,1114728,New cases
Brazil,2020-06-23,1154255,New cases
Brazil,2020-06-24,1195288,New cases
Brazil,2020-06-25,1236752,New cases
Brazil,2020-06-26,1281636,New cases
Brazil,2020-06-27,1318556,New cases
Brazil,2020-06-28,1351439,New cases
Brazil,2020-06-29,1372989,New cases
Brazil,2020-06-30,1412669,New cases
Brazil,2020-07-01,1459494,New cases
Brazil,2020-07-02,1503895,New cases
Brazil,2020-07-03,1546935,New cases
Brazil,2020-07-04,1580502,New cases
Brazil,2020-07-05,1605695,New cases
Brazil,2020-07-06,1630149,New cases
Brazil,2020-07-07,1676848,New cases
Brazil,2020-07-08,1722098,New cases
Brazil,2020-07-09,1765060,New cases
Brazil,2020-07-10,1809371,New cases
Brazil,2020-07-11,1844318,New cases
Brazil,2020-07-12,1867976,New cases
Brazil,2020-07-13,1890869,New cases
Brazil,2020-07-14,1933791,New cases
Brazil,2020-07-15,1973933,New cases
Brazil,2020-07-16,2017616,New cases
Brazil,2020-07-17,2052234,New cases
Brazil,2020-07-18,2077987,New cases
Brazil,2020-07-19,2101399,New cases
Brazil,2020-07-20,2124152,New cases
Brazil,2020-07-21,2171079,New cases
Brazil,2020-07-22,2237229,New cases
Brazil,2020-07-23,2294555,New cases
Brazil,2020-07-24,2351458,New cases
Brazil,2020-07-25,2398993,New cases
Brazil,2020-07-26,2421666,New cases
Brazil,2020-07-27,2449677,New cases
Brazil,2020-07-28,2503681,New cases
Brazil,2020-07-29,2559132,New cases
Brazil,2020-07-30,2617187,New cases
Brazil,2020-07-31,2670451,New cases
Brazil,2020-08-01,2711992,New cases
Brazil,2020-08-02,2736058,New cases
Brazil,2020-08-03,2756164,New cases
Brazil,2020-08-04,2812447,New cases
Brazil,2020-08-05,2868616,New cases
Brazil,2020-08-06,2922605,New cases
Brazil,2020-08-07,2972008,New cases
Brazil,2020-08-08,3018397,New cases
Brazil,2020-08-09,3041127,New cases
Brazil,2020-08-10,3067633,New cases
Brazil,2020-08-11,3118153,New cases
Brazil,2020-08-12,3173107,New cases
Brazil,2020-08-13,3233820,New cases
Brazil,2020-08-14,3283227,New cases
Brazil,2020-08-15,3320108,New cases
Brazil,2020-08-16,3343114,New cases
Brazil,2020-08-17,3367511,New cases
Brazil,2020-08-18,3416775,New cases
Brazil,2020-08-19,3465378,New cases
Brazil,2020-08-20,3508352,New cases
Brazil,2020-08-21,3540678,New cases
Brazil,2020-08-22,3586586,New cases
Brazil,2020-08-23,3608459,New cases
Brazil,2020-08-24,3631972,New cases
Brazil,2020-08-25,3678279,New cases
Brazil,2020-08-26,3726431,New cases
Brazil,2020-08-27,3768691,New cases
Brazil,2020-08-28,3812779,New cases
Brazil,2020-08-29,3850070,New cases
Brazil,2020-08-30,3864604,New cases
Brazil,2020-08-31,3914829,New cases
Brazil,2020-09-01,3959158,New cases
Brazil,2020-09-02,4005611,New cases
Brazil,2020-09-03,4052420,New cases
Brazil,2020-09-04,4091959,New cases
Brazil,2020-09-05,4125816,New cases
Brazil,2020-09-06,4140488,New cases
Brazil,2020-09-07,4150004,New cases
Brazil,2020-09-08,4168790,New cases
Brazil,2020-09-09,4205877,New cases
Brazil,2020-09-10,4246638,New cases
Brazil,2020-09-11,4288171,New cases
Brazil,2020-09-12,4318971,New cases
Brazil,2020-09-13,4332991,New cases
Brazil,2020-09-14,4353602,New cases
Brazil,2020-09-15,4388154,New cases
Brazil,2020-09-16,4425451,New cases
Brazil,2020-09-17,4461856,New cases
Brazil,2020-09-18,4501587,New cases
Brazil,2020-09-19,4531145,New cases
Brazil,2020-09-20,4546587,New cases
Brazil,2020-09-21,4564222,New cases
Brazil,2020-09-22,4599189,New cases
Brazil,2020-09-23,4631915,New cases
Brazil,2020-09-24,4663930,New cases
Brazil,2020-09-25,4696240,New cases
Brazil,2020-09-26,4720958,New cases
Brazil,2020-09-27,4734745,New cases
Brazil,2020-09-28,4751616,New cases
Brazil,2020-09-29,4784464,New cases
Brazil,2020-09-30,4817365,New cases
Brazil,2020-10-01,4853148,New cases
Brazil,2020-10-02,4885966,New cases
Brazil,2020-10-03,4908974,New cases
Brazil,2020-10-04,4917689,New cases
Brazil,2020-10-05,4943742,New cases
Brazil,2020-10-06,4975268,New cases
Brazil,2020-10-07,5006206,New cases
Brazil,2020-10-08,5033036,New cases
Brazil,2020-10-09,5060769,New cases
Brazil,2020-10-10,5084513,New cases
Brazil,2020-10-11,5096704,New cases
Brazil,2020-10-12,5105340,New cases
Brazil,2020-10-13,5118699,New cases
Brazil,2020-10-14,5146543,New cases
Brazil,2020-10-15,5176969,New cases
Brazil,2020-10-16,5205565,New cases
Brazil,2020-10-17,5226341,New cases
Brazil,2020-10-18,5238392,New cases
Brazil,2020-10-19,5254971,New cases
Brazil,2020-10-20,5278737,New cases
Brazil,2020-10-21,5304593,New cases
Brazil,2020-10-22,5329357,New cases
