country,country_code,year_week,source,new_cases,number_sequenced,percent_cases_sequenced,valid_denominator,variant,number_detections_variant,percent_variant,Variant
Austria,AT,2022-32,TESSy,38615,9876,25.6,Yes,B.1.1.529,9864,99.9,Omicron
Austria,AT,2022-32,TESSy,38615,9876,25.6,Yes,BA.1,12,0.1,Other
Belgium,BE,2022-32,TESSy,14934,32,0.2,Yes,B.1.1.529,32,100,Omicron
Bulgaria,BG,2022-32,TESSy,8910,254,2.9,Yes,B.1.1.529,254,100,Omicron
Croatia,HR,2022-28,TESSy,8934,344,3.9,Yes,B.1.1.529,343,99.7,Omicron
Croatia,HR,2022-28,TESSy,8934,344,3.9,Yes,BA.1,1,0.3,Other
Cyprus,CY,2022-31,TESSy,9486,30,0.3,Yes,B.1.1.529,30,100,Omicron
Czechia,CZ,2021-43,TESSy,34410,16,0,Yes,Other,16,100,Other
Denmark,DK,2022-32,TESSy,11633,3557,30.6,Yes,B.1.1.529,3557,100,Omicron
Estonia,EE,2022-31,TESSy,2239,373,16.7,Yes,B.1.1.529,373,100,Omicron
Finland,FI,2022-32,TESSy,12595,2754,21.9,Yes,B.1.1.529,2754,100,Omicron
France,FR,2022-32,TESSy,158533,776,0.5,Yes,B.1.1.529,774,99.7,Omicron
France,FR,2022-32,TESSy,158533,776,0.5,Yes,B.1.351,1,0.1,Beta
France,FR,2022-32,TESSy,158533,776,0.5,Yes,BA.1,1,0.1,Other
Germany,DE,2022-32,TESSy,297360,2192,0.7,Yes,B.1.1.529,2192,100,Omicron
Greece,EL,2022-31,TESSy,79960,145,0.2,Yes,B.1.1.529,145,100,Omicron
Hungary,HU,2022-32,TESSy,16249,90,0.6,Yes,B.1.1.529,90,100,Omicron
Iceland,IS,2022-28,TESSy,2338,171,7.3,Yes,B.1.1.529,171,100,Omicron
Ireland,IE,2022-32,TESSy,2906,151,5.2,Yes,B.1.1.529,150,99.3,Omicron
Ireland,IE,2022-32,TESSy,2906,151,5.2,Yes,BA.1,1,0.7,Other
Italy,IT,2022-32,TESSy,179816,38,0,Yes,B.1.1.529,38,100,Omicron
Latvia,LV,2022-32,TESSy,9574,263,2.7,Yes,B.1.1.529,263,100,Omicron
Liechtenstein,LI,2022-01,TESSy,480,267,55.6,Yes,B.1.1.529,267,100,Omicron
Lithuania,LT,2022-17,TESSy,4316,259,6,Yes,B.1.1.529,255,98.5,Omicron
Lithuania,LT,2022-17,TESSy,4316,259,6,Yes,B.1.617.2,1,0.4,Delta
Lithuania,LT,2022-17,TESSy,4316,259,6,Yes,BA.1,3,1.2,Other
Luxembourg,LU,2022-27,TESSy,7227,264,3.7,Yes,B.1.1.529,264,100,Omicron
Malta,MT,2022-23,TESSy,934,28,3,Yes,B.1.1.529,28,100,Omicron
Netherlands,NL,2022-31,TESSy,16835,902,5.4,Yes,B.1.1.529,901,99.9,Omicron
Netherlands,NL,2022-31,TESSy,16835,902,5.4,Yes,BA.1,1,0.1,Other
Norway,NO,2022-32,TESSy,2036,136,6.7,Yes,B.1.1.529,136,100,Omicron
Poland,PL,2022-32,TESSy,25169,7,0,Yes,B.1.1.529,5,71.4,Omicron
Poland,PL,2022-32,TESSy,25169,7,0,Yes,Other,2,28.6,Other
Portugal,PT,2022-32,TESSy,18025,109,0.6,Yes,B.1.1.529,109,100,Omicron
Romania,RO,2022-32,TESSy,38163,253,0.7,Yes,B.1.1.529,253,100,Omicron
Slovakia,SK,2022-32,TESSy,5983,13,0.2,Yes,B.1.1.529,8,61.5,Omicron
Slovakia,SK,2022-32,TESSy,5983,13,0.2,Yes,Other,5,38.5,Other
Slovenia,SI,2022-29,TESSy,11484,283,2.5,Yes,B.1.1.529,283,100,Omicron
Spain,ES,2022-32,TESSy,22165,9,0,Yes,B.1.1.529,9,100,Omicron
Sweden,SE,2022-32,TESSy,6635,885,13.3,Yes,B.1.1.529,885,100,Omicron
